station,degre,prop_jamais,prop_rarement,prop_regulierement,prop_souvent,retard_score_moyen,mean_avg_duration,mean_planned_trains,mean_cancelled_trains,mean_dep_late_trains,mean_dep_avg_late,mean_dep_avg_all,mean_arr_late_trains,mean_arr_avg_late,mean_arr_avg_all,mean_late_15,mean_late_15_air,mean_late_30,mean_late_60,mean_pct_external,mean_pct_infra,mean_pct_traffic,mean_pct_rolling,mean_pct_station,mean_pct_passengers,cluster,lat,lon
ST PIERRE DES CORPS,2,0.0,0.5,0.5,0.0,1.5,63.0,478.5,21.5,114.5,21.3360610357,3.5232129831999996,61.0,42.222409909999996,5.5866520788,29.0,73.6232875345,22.0,11.5,23.80785414,11.886395515,29.698457225,15.988779805,11.6058906,7.0126227199999995,0,47.3833,0.7167
LAVAL,2,0.0,0.0,1.0,0.0,2.0,79.5,306.5,7.5,77.0,19.474978899,4.24539389535,51.0,44.310731785499996,7.77951651095,34.0,61.8407017545,20.5,11.5,27.176015475,13.965183755,10.464216635,29.593810445000003,15.00967118,3.79110251,1,48.0667,-0.7667
PARIS LYON,40,0.0,0.325,0.675,0.0,1.675,177.6,319.825,7.225,79.75,17.749227369419998,3.6316318257974998,46.075,46.664725968925,8.0749988016675,40.075,52.20795555535,22.75,11.125,17.3548110575,25.472275536,23.7274404065,18.661956338,7.646240374,7.137276285249999,1,48.8447,2.3736
METZ,2,0.0,0.5,0.5,0.0,1.5,86.0,276.5,0.0,57.0,14.446497633500002,2.72314672665,45.0,30.2909502265,5.3792411300000005,28.0,42.7019902085,14.5,5.0,16.025641025,25.0,18.589743589999998,13.141025639999999,16.987179485,10.256410254999999,2,49.1092,6.1764
GRENOBLE,2,0.0,0.5,0.5,0.0,1.5,179.0,172.0,3.0,16.0,19.1666666665,1.9739320728499998,21.5,48.741574074,7.1519922969500005,18.5,54.5466161615,10.0,3.5,28.666666665,23.555555554999998,25.88888889,12.333333335,4.77777778,4.77777778,2,45.1917,5.7153
ANGOULEME,2,0.0,0.0,1.0,0.0,2.0,125.5,308.0,8.5,117.5,24.4311170215,6.72061195445,49.5,66.28271306399999,11.525110875500001,38.0,82.929516129,24.5,14.5,32.808811955,15.36191975,13.768686075,8.910306845000001,12.96223446,16.188040909999998,1,45.6489,0.1567
STRASBOURG,4,0.0,0.5,0.5,0.0,1.5,220.5,319.0,3.0,99.75,15.385138131,3.924225974875,54.25,55.01716019,7.934229945149999,41.25,58.356566931,23.0,7.0,28.8911088925,34.5479520475,9.2207792225,11.505994005,6.78071928,9.053446555,1,48.5853,7.7353
PARIS NORD,8,0.0,0.0,1.0,0.0,2.0,79.75,365.125,18.5,71.5,15.054280991870234,1.9062093925637573,53.625,40.65252953862574,6.9656564563937415,27.75,64.4927696262013,20.625,14.875,40.94531355393933,5.313736154623786,28.84549658478034,14.965465405429612,5.266462955360437,4.6635253442415046,0,48.8809,2.3553
TOURCOING,3,0.0,0.0,1.0,0.0,2.0,303.0,31.0,1.0,7.0,58.062654321,6.4675925926,6.0,111.662063492,20.921481481333334,6.0,111.662063492,5.0,3.6666666666666665,34.761904763333334,24.444444443333335,9.523809523333332,4.761904763333333,4.761904763333333,21.74603174666667,1,50.7236,3.1611
TOULON,2,0.0,0.0,1.0,0.0,2.0,236.0,342.5,9.0,101.5,17.68852347,4.923299070300001,64.0,51.107551282,10.44328400045,64.0,51.107551282,40.0,18.5,29.82278481,32.088607595,15.2278481,13.06329114,3.898734175,5.8987341749999995,1,43.1244,5.9292
MULHOUSE VILLE,2,0.0,0.0,1.0,0.0,2.0,168.5,332.5,8.0,91.0,16.383962639099998,2.8627345333000003,45.0,53.908069829,7.8686794738,37.0,62.553155458,28.0,15.0,12.25296443,31.027667985,28.85375494,18.82411067,5.68181818,3.3596837949999996,1,47.7408,7.3394
ANGERS SAINT LAUD,2,0.0,0.0,1.0,0.0,2.0,91.0,553.0,14.5,130.5,21.768259882,4.63497923795,83.5,64.555794607,10.64880212925,59.5,85.66767282199999,43.0,25.5,37.90123457,18.00925926,19.22839506,8.688271605,6.2191358,9.953703705,0,47.4633,-0.5547
SAINT ETIENNE CHATEAUCREUX,2,0.0,0.5,0.5,0.0,1.5,170.0,111.0,4.0,10.5,13.5594696968,1.4153426791500001,12.0,27.965850816,4.10989096575,7.5,36.459077381,3.0,0.5,4.545454545,23.776223775,29.72027972,28.32167832,9.09090909,4.545454545,2,45.4397,4.3944
DOUAI,2,0.0,0.0,1.0,0.0,2.0,72.0,146.5,10.5,27.0,14.6843181818,1.82077974205,23.5,36.190494228,6.84360507545,10.0,64.503472222,6.0,5.0,35.198135195,6.06060606,29.72027972,19.114219115,3.03030303,6.876456875,2,50.3711,3.0778
PERPIGNAN,2,0.0,0.0,1.0,0.0,2.0,316.0,334.5,8.0,57.0,25.858065025,4.51381149825,58.5,69.439366218,13.276670700499999,58.5,69.439366218,32.5,19.5,37.01754386,20.526315789999998,20.526315789999998,13.421052629999998,5.96491228,2.543859645,1,42.6983,2.8956
BELLEGARDE (AIN),2,0.0,0.0,1.0,0.0,2.0,161.5,246.5,5.0,53.0,16.404940476,3.2184973535,41.5,50.004868687,8.888017010750001,32.0,59.2079412745,20.0,6.5,7.545454545,42.696969695,20.636363635000002,19.09090909,8.030303029999999,2.0,1,46.1081,5.8239
ST MALO,2,0.0,0.0,1.0,0.0,2.0,152.0,125.0,2.5,14.5,33.9765151515,3.12753932285,19.5,60.220967023,10.491554474,15.5,72.039110644,10.0,7.0,32.887700535,17.914438500000003,14.97326203,17.914438500000003,5.213903745,11.096256685,1,48.6464,-2.0128
LA ROCHELLE VILLE,2,0.0,0.0,1.0,0.0,2.0,174.0,232.0,6.5,35.0,31.4303303305,4.706111384350001,32.0,73.53382352950001,11.522117844,28.5,81.125403226,18.0,11.5,38.0831643,7.60649087,15.720081135000001,15.97363083,4.918864095,17.697768760000002,1,46.1583,-1.1511
VANNES,2,0.0,0.0,1.0,0.0,2.0,160.0,304.0,7.5,98.0,19.68305637105,4.97818443445,46.5,67.51114779849999,11.3460960962,39.5,76.9825108225,26.5,15.5,42.287735850000004,17.54716981,10.33018868,16.320754715,10.37735849,3.136792455,1,47.6581,-2.76
MONTPELLIER,4,0.0,0.0,1.0,0.0,2.0,160.5,236.25,5.0,70.25,25.862226267249998,7.486369256650001,46.0,50.66102218025,11.476240171875002,39.0,57.38210926425,21.0,11.25,25.1684782575,18.181900839999997,22.34968628,15.0640372275,7.261975209999999,11.9739221825,1,43.6047,3.8797
VALENCE ALIXAN TGV,2,0.0,0.5,0.5,0.0,1.5,131.5,468.0,9.5,170.0,17.2065376985,6.031318371399999,63.5,45.3492487375,7.7004692176,52.0,51.9503385415,28.0,13.0,25.155350974999998,17.675489065,24.11967779,18.06674338,6.087456845,8.895281935,0,44.9694,4.975
LE MANS,2,0.0,0.0,1.0,0.0,2.0,56.5,465.5,13.5,126.5,19.2450683305,4.31662103815,71.0,46.7438333,7.42167353545,43.0,70.42506364799999,31.0,17.0,33.831168829999996,16.222943725,12.97619048,20.01082251,9.545454545,7.41341991,0,48.0042,0.1925
NIMES,2,0.0,0.0,1.0,0.0,2.0,179.5,256.0,5.5,67.0,20.741772709000003,5.58566671485,46.0,48.349553571499996,9.5573526736,36.0,55.266435185000006,21.0,11.0,29.088345865,18.51503759,14.614661654999999,18.233082705,7.09586466,12.453007515,1,43.8392,4.3606
AVIGNON TGV,2,0.0,0.0,1.0,0.0,2.0,160.0,575.5,14.5,176.0,16.776970505999998,4.555134983,89.5,37.8278478495,6.8265950702,69.0,45.033811936999996,37.0,18.0,14.633534135,24.221887549999998,19.095130519999998,19.17670683,10.517068275,12.35567269,0,43.9217,4.7853
REIMS,2,1.0,0.0,0.0,0.0,0.0,46.5,205.0,0.0,16.0,6.178267973900001,0.58403095055,9.5,13.143888889,0.9838072688499999,3.0,21.13125,0.0,0.0,5.555555555,5.555555555,27.777777774999997,22.22222222,16.666666665,22.22222222,3,49.2583,4.0317
NANCY,2,0.0,1.0,0.0,0.0,1.0,97.5,261.5,0.0,40.0,9.7515873018,1.6250123083,18.5,32.9330409355,3.02180447095,14.5,37.772058823500004,6.0,2.5,13.30409357,26.900584795,16.228070175,16.228070175,13.596491230000002,13.742690054999999,2,48.6892,6.1736
NANTES,4,0.0,0.25,0.75,0.0,1.75,227.75,338.25,9.75,74.0,18.234101453500003,3.7674141078500005,43.25,74.0197141055,9.640274561075,35.5,81.26937077225,25.5,15.5,37.4239784625,36.2218878675,10.8805828325,3.77732024,3.1477668674999997,8.5484637325,1,47.2181,-1.5428
LYON PART DIEU,12,0.0,0.16666666666666666,0.8333333333333334,0.0,1.8333333333333333,143.75,383.25,11.583333333333334,180.66666666666666,19.06686198511144,9.537810155719118,83.33333333333333,60.06888511971468,15.98724645286696,64.66666666666667,69.28886350822215,37.25,23.416666666666668,21.876441866608243,19.86746891769928,23.74394910781362,15.66661572096559,7.316908085313618,11.528616299966309,0,45.7606,4.8594
MARSEILLE ST CHARLES,9,0.0,0.0,1.0,0.0,2.0,208.77777777777777,371.44444444444446,11.444444444444445,129.55555555555554,23.142266626224178,7.76148854788696,82.33333333333333,59.295426452194384,15.811751337854268,73.66666666666667,61.813731012118296,40.666666666666664,24.333333333333332,25.977502821470225,17.524938457771118,18.844992882356355,13.414572949724121,7.430505933701959,16.807486952649832,0,43.3027,5.3805
BREST,2,0.0,0.5,0.5,0.0,1.5,232.5,287.0,7.5,29.5,38.783716931,3.82960050775,33.5,75.93551801800001,9.7294386842,33.5,75.93551801800001,21.0,12.5,43.603603605,16.441441445000002,12.38738739,10.09009009,9.774774775,7.702702705,1,48.3906,-4.4792
BORDEAUX ST JEAN,4,0.0,0.0,1.0,0.0,2.0,226.25,557.5,11.25,137.25,51.88160338475,6.08686616605,91.0,93.96389168325,16.685955696375,76.75,98.78026242199999,48.0,27.75,35.67236754,19.1884641175,12.2837022125,9.235412475,7.0506371575,16.5694164975,0,44.8258,-0.5561
NICE VILLE,2,0.0,0.0,1.0,0.0,2.0,342.0,280.5,7.5,28.0,19.0975694445,1.77262674935,65.0,53.746305801,14.041742725,65.0,53.746305801,42.0,22.0,29.756505134999998,37.2403915,13.53544999,9.166865600000001,3.8075913100000003,6.49319647,1,43.7042,7.2628
ARRAS,2,0.0,0.0,1.0,0.0,2.0,49.5,474.5,27.5,130.0,15.67527304495,2.6610441777,73.5,42.5263671025,7.3739308453,35.0,68.12848136,26.0,19.5,48.287755605,4.545454545,24.78442966,14.38778024,5.974377925000001,2.02020202,0,50.2864,2.7814
BESANCON FRANCHE COMTE TGV,2,0.0,1.0,0.0,0.0,1.0,129.5,167.5,3.5,24.0,19.8881246045,2.30677465175,16.0,54.880555555499996,5.76400766625,12.0,69.2820238095,9.5,5.5,18.253968255,19.84126984,25.396825395,30.95238095,2.77777778,2.77777778,2,47.2411,5.9942
LE CREUSOT MONTCEAU MONTCHANIN,2,0.0,0.5,0.5,0.0,1.5,80.5,233.5,4.5,71.5,12.930420054199999,2.7781353736,28.5,24.105239899,3.0163280093,14.5,37.5245634925,7.5,2.0,6.49509804,21.32352941,22.42647059,20.465686275,16.911764705,12.377450979999999,2,46.7978,4.3819
AIX EN PROVENCE TGV,2,0.0,0.5,0.5,0.0,1.5,183.0,501.5,12.0,175.5,16.109736754,4.8254297824000005,66.0,44.389971297,7.13695304215,65.0,44.8101259575,34.5,15.0,19.966555185,20.73578595,17.201783725,17.926421405,12.173913044999999,11.995540694999999,0,43.4553,5.3175
ANNECY,2,0.0,0.5,0.5,0.0,1.5,226.0,134.5,3.0,9.5,12.178787879,0.84195629965,19.0,50.536881419,8.8274491094,19.0,50.536881419,8.5,4.5,2.94117647,29.94652406,39.438502674999995,17.245989305,4.545454545,5.88235294,2,45.8992,6.1292
POITIERS,2,0.0,0.0,1.0,0.0,2.0,94.0,569.0,18.5,139.5,24.7810584175,5.1464053663,83.5,55.564508565500006,8.717596656849999,52.0,82.073555968,31.5,21.0,31.726523405000002,12.51839859,16.264350895,13.563438325,8.551663235,17.375625555,0,46.5842,0.3406
DIJON VILLE,2,0.0,1.0,0.0,0.0,1.0,96.5,417.0,9.5,96.0,18.3079440663,3.1887246872499997,45.0,50.254999999999995,5.78713375805,35.5,60.5473237945,24.0,14.5,12.08037825,24.8463357,28.27423168,23.829787234999998,7.68321513,3.286052005,2,47.3231,5.0289
MARNE LA VALLEE,4,0.0,0.0,1.0,0.0,2.0,157.75,354.0,15.25,200.75,24.119962045,13.124836855699998,89.0,58.995712557000004,16.95915009675,74.5,66.7321400855,42.25,29.25,21.29136596,14.6649722625,22.070321605,21.718877794999997,7.7334324275,12.521029947499999,0,48.8581,2.7797
MACON LOCHE,2,0.0,0.5,0.5,0.0,1.5,96.5,201.5,3.5,81.0,17.8072337965,6.79693879715,31.5,41.38591269849999,7.6814606024,28.5,44.0761373875,12.0,8.0,4.76190476,29.76190476,29.76190476,21.42857143,8.33333333,5.95238095,2,46.3108,4.8406
TOULOUSE MATABIAU,2,0.0,0.0,1.0,0.0,2.0,270.5,223.0,5.5,31.5,21.637889813,3.03696645805,48.0,58.8374618735,14.150414781000002,48.0,58.8374618735,30.0,17.5,42.220801365,33.82352941,7.843137255,10.123614665,4.02813299,1.960784315,1,43.6111,1.4542
LILLE,6,0.0,0.0,1.0,0.0,2.0,180.66666666666666,433.5,18.5,136.16666666666666,17.612104337802794,6.021617671537016,91.33333333333333,59.671325665721945,17.355482884706973,71.33333333333333,70.7821563172235,43.833333333333336,32.333333333333336,31.363181095674253,8.61436821988696,24.537790508868884,15.32175869375685,8.176875869994097,11.986025607896039,0,50.6369,3.0697
TOURS,2,0.0,0.5,0.5,0.0,1.5,75.5,152.0,8.5,8.5,8.0695601852,0.3117261905,16.5,16.893749999999997,2.0773951246999998,3.5,42.3277777775,1.5,0.5,5.555555555,25.490196075,43.464052284999994,19.607843135,0.0,5.88235294,2,47.3878,0.6883
RENNES,4,0.0,0.0,1.0,0.0,2.0,167.25,466.25,12.0,125.25,17.937505060249997,5.827978674075,72.75,81.48822100175,16.669017106974998,56.25,89.5429225845,35.0,23.0,35.212089732500004,30.012017050000004,13.189351627499999,10.6849716625,6.2536642575000005,4.6479056725,0,48.1033,-1.6722
QUIMPER,2,0.0,0.5,0.5,0.0,1.5,230.5,288.0,9.0,37.0,31.935219109000002,3.9400438308999997,34.0,69.82975146199999,9.01349989935,34.0,69.82975146199999,20.5,11.5,44.82173175,18.88794567,6.1544991499999995,15.365025464999999,10.52631579,4.2444821699999995,1,47.9978,-4.1019
PARIS EST,8,0.25,0.5,0.25,0.0,1.0,86.5,330.875,1.125,75.0,11.614101203050001,2.36383607905,43.875,27.94852629825,4.06838771385,30.5,35.927584413999995,15.25,4.625,15.309734126250001,18.06658254,18.473573209999998,18.65082651125,15.202943985000001,14.29633962375,2,48.8769,2.3592
PARIS MONTPARNASSE,32,0.0,0.125,0.875,0.0,1.875,135.84375,427.0,11.9375,98.125,24.05005279377813,4.152962278190625,63.21875,58.27634159496875,9.3301936579625,47.6875,72.74111526493749,30.6875,18.15625,34.830542034375,17.484570821875003,15.727771127499999,14.8525921115625,8.4059174453125,8.6986064584375,0,48.8408,2.3197
CHAMBERY CHALLES LES EAUX,2,0.0,0.0,1.0,0.0,2.0,172.5,173.5,2.5,41.0,17.789288368999998,3.89985380115,37.0,45.057769608,11.1720272905,30.0,54.026880141,15.0,8.5,2.94117647,27.57352941,44.19117647,16.102941174999998,6.25,2.94117647,2,45.5786,5.9258
DUNKERQUE,2,0.0,0.0,1.0,0.0,2.0,129.5,159.5,12.0,10.5,16.6677083335,1.28214789595,21.0,43.6613636365,6.9675193228,14.0,58.7333333335,9.5,5.5,36.270022885,7.43707094,36.270022885,15.675057205,2.173913045,2.173913045,2,51.0361,2.3764
